Country,Alpha-2 code,Alpha-3 code,Numeric code,Latitude,Longitude
Afghanistan,AF,AFG,4,33,65
Albania,AL,ALB,8,41,20
Algeria,DZ,DZA,12,28,3
American Samoa,AS,ASM,16,-14.3333,-170
Andorra,AD,AND,20,42.5,1.6
Angola,AO,AGO,24,-12.5,18.5
Anguilla,AI,AIA,660,18.25,-63.1667
Antarctica,AQ,ATA,10,-90,0
Antigua and Barbuda,AG,ATG,28,17.05,-61.8
Argentina,AR,ARG,32,-34,-64
Armenia,AM,ARM,51,40,45
Aruba,AW,ABW,533,12.5,-69.9667
Australia,AU,AUS,36,-27,133
Austria,AT,AUT,40,47.3333,13.3333
Azerbaijan,AZ,AZE,31,40.5,47.5
